Date,Predicted_Sales
2024-08-02,2893.3
2024-08-03,2995.87
2024-08-04,2937.64
2024-08-05,2970.7
2024-08-06,2951.93
2024-08-07,2962.59
2024-08-08,2956.54
2024-08-09,2959.97
2024-08-10,2958.02
2024-08-11,2959.13
2024-08-12,2958.5
2024-08-13,2958.86
2024-08-14,2958.65
2024-08-15,2958.77
2024-08-16,2958.7
2024-08-17,2958.74
2024-08-18,2958.72
2024-08-19,2958.73
2024-08-20,2958.73
2024-08-21,2958.73
2024-08-22,2958.73
2024-08-23,2958.73
2024-08-24,2958.73
2024-08-25,2958.73
2024-08-26,2958.73
2024-08-27,2958.73
2024-08-28,2958.73
2024-08-29,2958.73
2024-08-30,2958.73
2024-08-31,2958.73
