customer_id,cluster_label,recommended_product_1,recommended_product_2,recommended_product_3
101,1,6.0,3.0,2.0
102,2,9.0,18.0,20.0
103,2,9.0,18.0,20.0
104,2,9.0,18.0,20.0
105,1,3.0,2.0,9.0
106,2,9.0,18.0,20.0
107,1,21.0,3.0,2.0
108,2,9.0,18.0,20.0
109,2,9.0,18.0,20.0
110,1,3.0,2.0,9.0
111,2,9.0,18.0,20.0
112,2,9.0,18.0,20.0
113,1,6.0,3.0,2.0
114,2,9.0,18.0,20.0
115,2,9.0,18.0,20.0
116,2,9.0,18.0,20.0
117,2,9.0,18.0,20.0
118,3,3.0,,
119,1,3.0,2.0,9.0
120,2,9.0,18.0,20.0
121,1,3.0,2.0,9.0
122,2,9.0,18.0,20.0
123,1,3.0,2.0,9.0
124,1,3.0,2.0,9.0
125,1,3.0,2.0,9.0
126,1,3.0,2.0,9.0
127,1,3.0,2.0,9.0
128,2,9.0,18.0,20.0
129,3,3.0,,
130,2,9.0,18.0,20.0
131,2,9.0,18.0,20.0
132,1,3.0,2.0,9.0
133,2,9.0,18.0,20.0
134,1,3.0,2.0,9.0
135,2,9.0,18.0,20.0
136,2,9.0,18.0,20.0
137,1,3.0,2.0,9.0
138,2,9.0,18.0,20.0
139,2,9.0,18.0,20.0
140,2,9.0,18.0,20.0
141,1,3.0,2.0,9.0
142,1,3.0,2.0,9.0
143,2,9.0,18.0,20.0
144,2,9.0,18.0,20.0
145,2,9.0,18.0,20.0
146,3,3.0,,
147,1,3.0,2.0,9.0
148,2,9.0,18.0,20.0
149,2,9.0,18.0,20.0
150,3,3.0,,
151,1,6.0,3.0,2.0
152,2,9.0,18.0,20.0
153,1,6.0,3.0,2.0
154,2,9.0,18.0,20.0
155,2,9.0,18.0,20.0
156,1,3.0,2.0,9.0
157,1,3.0,2.0,9.0
158,1,3.0,2.0,9.0
159,1,3.0,2.0,9.0
160,3,,,
161,1,6.0,3.0,2.0
162,1,3.0,2.0,9.0
163,2,9.0,18.0,20.0
164,2,9.0,18.0,20.0
165,2,9.0,18.0,20.0
166,2,9.0,18.0,20.0
167,2,9.0,18.0,20.0
168,1,3.0,2.0,9.0
169,2,9.0,18.0,20.0
170,1,3.0,2.0,9.0
171,2,9.0,18.0,20.0
172,2,9.0,18.0,20.0
173,2,9.0,18.0,20.0
174,2,9.0,18.0,20.0
175,1,3.0,2.0,9.0
176,2,9.0,18.0,20.0
177,2,9.0,18.0,20.0
178,3,3.0,,
179,1,3.0,2.0,9.0
180,2,9.0,18.0,20.0
181,2,9.0,18.0,20.0
182,3,3.0,,
183,2,9.0,18.0,20.0
184,3,3.0,,
185,2,9.0,18.0,20.0
186,1,3.0,2.0,9.0
187,1,3.0,2.0,9.0
188,1,3.0,2.0,9.0
189,1,3.0,2.0,9.0
190,1,3.0,2.0,9.0
191,2,9.0,18.0,20.0
192,1,3.0,2.0,9.0
193,1,3.0,2.0,9.0
194,2,9.0,18.0,20.0
195,3,3.0,,
196,1,3.0,2.0,9.0
197,2,9.0,18.0,20.0
198,2,9.0,18.0,20.0
199,1,21.0,3.0,2.0
200,3,3.0,,
201,2,6.0,9.0,18.0
202,1,3.0,2.0,9.0
203,1,3.0,2.0,9.0
204,2,9.0,18.0,20.0
205,3,3.0,,
206,1,3.0,2.0,9.0
207,2,9.0,18.0,20.0
208,2,9.0,18.0,20.0
209,2,9.0,18.0,20.0
210,1,3.0,2.0,9.0
211,2,9.0,18.0,20.0
212,3,3.0,,
213,2,9.0,18.0,20.0
214,1,21.0,3.0,2.0
215,2,9.0,18.0,20.0
216,1,3.0,2.0,9.0
217,2,9.0,18.0,20.0
218,2,9.0,18.0,20.0
219,3,3.0,,
220,1,3.0,2.0,9.0
221,2,9.0,18.0,20.0
222,1,3.0,2.0,9.0
223,1,3.0,2.0,9.0
224,3,6.0,3.0,
225,1,3.0,2.0,9.0
226,1,3.0,2.0,9.0
227,2,9.0,18.0,20.0
228,2,9.0,18.0,20.0
229,1,3.0,2.0,9.0
230,1,3.0,2.0,9.0
231,1,3.0,2.0,9.0
232,3,3.0,,
233,1,3.0,2.0,9.0
234,2,9.0,18.0,20.0
235,3,3.0,,
236,1,3.0,2.0,9.0
237,2,9.0,18.0,20.0
238,1,3.0,2.0,9.0
239,2,9.0,18.0,20.0
240,1,3.0,2.0,9.0
241,1,3.0,2.0,9.0
242,2,9.0,18.0,20.0
243,2,9.0,18.0,20.0
244,1,3.0,2.0,9.0
245,2,9.0,18.0,20.0
246,1,3.0,2.0,9.0
247,2,9.0,18.0,20.0
248,2,9.0,18.0,20.0
249,1,3.0,2.0,9.0
250,2,9.0,18.0,20.0
251,1,3.0,2.0,9.0
252,3,3.0,,
253,3,3.0,,
254,1,21.0,3.0,2.0
255,1,3.0,2.0,9.0
256,1,3.0,2.0,9.0
257,2,18.0,20.0,19.0
